Paper,Author,Year,Population,Language,Task,Task2,ASD_N,TD_N,PitchMeanASD_Mean,PitchMeanASD_SD,PitchMeanTD_Mean,PitchMeanTD_SD,PitchMeanASDvsTD,PitchRangeASD_Mean,PitchRangeASD_SD,PitchRangeTD_Mean,PitchRangeTD_SD,PitchRangeASDvsTD,PitchSDASD_Mean,PitchSDASD_SD,PitchSDTD_Mean,PitchSDTD_SD,PitchSDASDvsTD,IntensityMeanASD_Mean,IntensityMeanASD_SD,IntensityMeanTD_Mean,IntensityMeanTD_SD,IntensityMeanASDvsTD,UtteranceDurationASD_Mean,UtteranceDurationASD_SD,UtteranceDurationTD_Mean,UtteranceDurationTD_SD,UtteranceDurationASDvsTD,SyllableDurationASD_Mean,SyllableDurationASD_SD,SyllableDurationTD_Mean,SyllableDurationTD_SD,SyllableDurationASDvsTD,SpeechRateASD_Mean,SpeechRateASD_SD,SpeechRateTD_Mean,SpeechRateTD_SD,SpeechRateASDvsTD,PauseLengthASD_Mean,PauseLengthASD_SD,PauseLengthTD_Mean,PauseLengthTD_SD,PauseLengthASDvsTD,PauseNumberASD,PauseNumberASD_SD,PauseNumberTD,PauseNumberTD_SD,PauseNumberASDvsTD
"(Nadig & Shaw, 2012)",Nadig,2012,N,Canadian English,Spontaneous,Description Elicitation,15,11,247.23,25.45,236.21,16.8,NS,155.72,40.77,122.61,37,Wider,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.97,39.34,204.19,56.87,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Depape, et al., 2012)",Depape,2012,O,American English,Social Interaction,Social Interaction,12,6,NA,NA,NA,NA,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Fosnot & Jun, 1999)",Fosnot,1999,P,American English,Constrained,Reading,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wider,NA,NA,NA,NA,Higher,NA,NA,NA,NA,NA,NA,NA,NA,NA,Longer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Diehl & Paul, 2012)",Diehl,2012,Q,American English,Constrained,Imitation,24,22,NA,NA,NA,NA,NS,NA,NA,NA,NA,NS,NA,NA,NA,NA,NS,NA,NA,NA,NA,NS,NA,NA,NA,NA,Longer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Diehl & Paul, 2013)",Diehl,2013,Q,American English,Spontaneous,Sentence Elicitation,24,22,NA,NA,NA,NA,NS,NA,NA,NA,NA,Wider,NA,NA,NA,NA,Higher,NA,NA,NA,NA,NS,NA,NA,NA,NA,Longer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Brisson et al 2014),Brisson,2014,R,French,Social Interaction,Conversation,13,13,393.61,107.19,357.64,37.17,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Hubbard & Trauner, 2007)",Hubbard,2007,S,American English,Constrained,Sentence Imitation,18,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NS,NA,NA,NA,NA,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Oller, et al., 2010)",Oller,2010,T,American English,Social Interaction,Social Interaction,77,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Paul, et al., 2008) ",Paul,2008,U,American English,Constrained Production,Imitation,46,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.321,0.045,0.346,0.044,Shorter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Feldstein, et al., 1982)",Feldstein,1982,V,American English,Social Interaction,Social Interaction,12,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Thurber & Tager-Flusberg, 1993)",Thurber,1993,W,American English,Spontaneous,Narrative Elicitation,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,7.4,9.1,3.7,Longer,NA,NA,NA,NA,NA
(Chan et al 2016),Chan,2016,Z,Cantonese,Spontaneous,Narrative Elicitation,19,19,137.67,18.69,123.24,15.19,NS,NA,NA,NA,NA,NA,27.35,7.86,22.16,4.69,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Morett et al 2015),Morett,2015,AA,American English,Spontaneous,Narrative Elicitation,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.52,9.22,26.92,13.33,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81,1.86,1.11,1.18,Higher
(Parish-Morris et al. 2016),Parish-Morris,2016,AB,American English,Social Interaction,Social Interaction,65,17,NA,NA,NA,NA,NA,1.99,0.7,1.47,0.19,Wider,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402,0.002,0.376,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
